Time ,Surv
0.037075421,0.998247526
0.213931693,0.998264763
0.371098962,0.996525696
0.508615535,0.994784713
0.724619978,0.987788222
0.881902164,0.991312324
1.058681824,0.987820782
1.215810788,0.984327324
1.35325075,0.979077562
1.490805627,0.979090969
1.589059112,0.979100545
1.706963293,0.979112037
1.805063555,0.972104055
1.922929431,0.970361157
2.001340691,0.961596869
2.09955587,0.959852056
2.118785206,0.940555684
2.236153111,0.91600572
2.235884973,0.903724992
2.294415704,0.884432452
2.313759957,0.870399249
2.332836072,0.844085319
2.332644545,0.835313371
2.46996959,0.824800439
3.156862954,0.784516511
3.667474628,0.77053119
3.902976546,0.756519056
3.981579334,0.756526717
4.001115114,0.751265463
4.099253682,0.74601187
4.158090856,0.740754447
4.216889725,0.733742634
4.334564073,0.723227788
4.413051944,0.71797228
4.62878825,0.698695061
2.626715499,0.803763085
2.823107551,0.798519069
3.019537909,0.795029442
4.766304822,0.696954078
4.884132392,0.69345679
5.021495743,0.684698249
5.139246702,0.677692182
5.33567706,0.674202555
5.453581241,0.674214047
5.591059508,0.670718674
5.767800863,0.665472742
5.846250428,0.658462845
5.8853986,0.651449117
6.022532118,0.632164237
6.238421645,0.619904577
6.316947822,0.616403459
6.670430532,0.605911595
7.16146812,0.595433139
7.750759193,0.584964259
8.005873503,0.56919965
8.20230386,0.565710023
8.3395906,0.553442702
8.555173683,0.527147925
8.554943851,0.516621587
8.711957898,0.507864961
8.829210886,0.478051827
9.025488022,0.467544642
9.123741506,0.467554218
9.202344294,0.467561879
9.575707534,0.467598269
10.22391239,0.455380746
10.77359563,0.430872917
10.85204519,0.42386302
11.4205364,0.360760533
11.55789975,0.352001992
11.63634932,0.344992094
11.73452619,0.341492891
11.98979373,0.332745841
12.14684608,0.325743605
12.99159621,0.315299623
13.56127489,0.306583218
13.85576721,0.294331219
14.01293447,0.292592151
14.07169504,0.283825949
14.18963752,0.28559183
14.26789556,0.269809984
14.42494792,0.262807747
14.89637311,0.254081765
15.17148287,0.254108579
15.23043496,0.254114325
16.38967285,0.247209767
16.56652912,0.247227004
16.704084,0.247240411
16.80233748,0.247249988
16.92024166,0.247261479
17.01822701,0.234990328
17.21465737,0.231500701
17.56794855,0.212236889
18.21638324,0.210545704
18.29498603,0.210553365
18.80590415,0.210603162
19.49318057,0.18786313
19.6894194,0.175601555
19.84662497,0.175616877
19.96449085,0.173873979
20.278902,0.173904624
20.65038827,0.087975919
22.51720447,0.08815787
