Time,Surv
0.924770642,1.000571999
2.272365573,0.992096706
3.386194035,0.933431787
4.912551559,0.903960881
6.425158113,0.841118509
7.800254981,0.814071409
8.762822788,0.749491441
9.862900282,0.71254446
10.82546809,0.671492259
11.65052621,0.619625231
13.02562308,0.590832509
14.19445542,0.541052201
15.36328775,0.513904778
16.60087493,0.484960138
17.83846212,0.448714846
19.35106867,0.427045062
20.86367522,0.406458768
22.37628178,0.378288049
23.88888833,0.360771641
25.40149489,0.32754464
26.91410144,0.309486487
28.426708,0.272647855
29.93931455,0.260368311
31.45192111,0.24140725
32.96452766,0.206735596
34.47713421,0.188135699
35.98974077,0.167188242
37.50234732,0.155269861
39.01495388,0.150394159
40.52756043,0.141184501
42.04016699,0.128182631
43.55277354,0.119875881
45.0653801,0.110666223
46.57798665,0.1079575
48.09059321,0.098747842
49.60319976,0.096761445
51.11580631,0.082856667
52.62841287,0.082314923
54.14101942,0.070938286
55.65362598,0.059381069
57.16623253,0.051074318
58.67883909,0.051074318
60.19144564,0.046018035
61.56654251,0.024147606
