Time,Surv
0.787260955,0.996960368
2.29986751,0.985532137
3.338829588,0.936698306
4.775041872,0.912610736
6.027907907,0.874605012
7.167710422,0.84544765
8.281538885,0.827865831
9.178039647,0.774231615
10.27919706,0.746818645
11.23799715,0.718787421
11.83898408,0.692322039
13.02562308,0.678053388
14.53822963,0.630199283
16.05083619,0.609071244
17.21966852,0.568861756
18.38850086,0.526184322
19.90110742,0.489887434
21.41371397,0.478149635
22.92632053,0.463161368
24.43892708,0.442936237
25.95153363,0.416571333
27.46414019,0.395804458
28.97674674,0.388220033
30.4893533,0.363299782
32.00195985,0.358965826
33.51456641,0.347589189
35.02717296,0.326822313
36.53977952,0.315445677
38.05238607,0.299012758
39.56499263,0.2898031
41.07759918,0.273370181
42.59020573,0.261993544
44.10281229,0.259645985
45.61541884,0.259645985
47.1280254,0.253867376
48.64063195,0.223349097
50.15323851,0.211069553
51.66584506,0.207999667
53.17845162,0.202040477
54.69105817,0.17766197
56.20366473,0.176217318
57.71627128,0.176217318
59.22887783,0.176217318
60.74148439,0.176217318
62.25409094,0.176217318
63.7666975,0.176217318
65.27930405,0.169716383
66.79191061,0.13161368
68.30451716,0.126557398
69.81712372,0.126557398
71.32973027,0.126557398
