"time","surv","model"
152,0.00287057518022578,"Median PFS"
153,0.00276213586400995,"Median PFS"
154,0.00265779296909058,"Median PFS"
155,0.00255739174838862,"Median PFS"
156,0.00246078330057592,"Median PFS"
157,0.0023678243492452,"Median PFS"
158,0.0022783770304221,"Median PFS"
159,0.00219230868810425,"Median PFS"
160,0.00210949167752404,"Median PFS"
161,0.00202980317584344,"Median PFS"
162,0.001953125,"Median PFS"
163,0.00187934343143388,"Median PFS"
164,0.00180834904743611,"Median PFS"
165,0.00174003655886785,"Median PFS"
166,0.00167430465400991,"Median PFS"
167,0.00161105584831114,"Median PFS"
168,0.0015501963398127,"Median PFS"
169,0.00149163587003383,"Median PFS"
170,0.00143528759011289,"Median PFS"
171,0.00138106793200498,"Median PFS"
172,0.00132889648454529,"Median PFS"
173,0.00127869587419431,"Median PFS"
174,0.00123039165028796,"Median PFS"
175,0.0011839121746226,"Median PFS"
176,0.00113918851521105,"Median PFS"
177,0.00109615434405212,"Median PFS"
178,0.00105474583876202,"Median PFS"
179,0.00101490158792172,"Median PFS"
180,0.0009765625,"Median PFS"
181,0.000939671715716939,"Median PFS"
182,0.000904174523718057,"Median PFS"
183,0.000870018279433925,"Median PFS"
184,0.000837152327004954,"Median PFS"
185,0.000805527924155569,"Median PFS"
186,0.000775098169906348,"Median PFS"
187,0.000745817935016916,"Median PFS"
188,0.000717643795056445,"Median PFS"
189,0.000690533966002488,"Median PFS"
190,0.000664448242272645,"Median PFS"
191,0.000639347937097155,"Median PFS"
192,0.000615195825143981,"Median PFS"
193,0.000591956087311301,"Median PFS"
194,0.000569594257605526,"Median PFS"
195,0.000548077172026061,"Median PFS"
196,0.000527372919381009,"Median PFS"
197,0.000507450793960861,"Median PFS"
198,0.00048828125,"Median PFS"
199,0.000469835857858469,"Median PFS"
200,0.000452087261859028,"Median PFS"
201,0.000435009139716963,"Median PFS"
202,0.000418576163502477,"Median PFS"
203,0.000402763962077785,"Median PFS"
204,0.000387549084953174,"Median PFS"
205,0.000372908967508458,"Median PFS"
206,0.000358821897528222,"Median PFS"
207,0.000345266983001244,"Median PFS"
208,0.000332224121136322,"Median PFS"
209,0.000319673968548577,"Median PFS"
210,0.00030759791257199,"Median PFS"
211,0.00029597804365565,"Median PFS"
212,0.000284797128802763,"Median PFS"
213,0.00027403858601303,"Median PFS"
214,0.000263686459690505,"Median PFS"
215,0.000253725396980431,"Median PFS"
216,0.000244140625,"Median PFS"
217,0.000234917928929235,"Median PFS"
218,0.000226043630929514,"Median PFS"
219,0.000217504569858481,"Median PFS"
220,0.000209288081751239,"Median PFS"
221,0.000201381981038892,"Median PFS"
222,0.000193774542476587,"Median PFS"
223,0.000186454483754229,"Median PFS"
224,0.000179410948764111,"Median PFS"
225,0.000172633491500622,"Median PFS"
226,0.000166112060568161,"Median PFS"
227,0.000159836984274289,"Median PFS"
228,0.000153798956285995,"Median PFS"
229,0.000147989021827825,"Median PFS"
230,0.000142398564401381,"Median PFS"
231,0.000137019293006515,"Median PFS"
232,0.000131843229845252,"Median PFS"
233,0.000126862698490215,"Median PFS"
234,0.0001220703125,"Median PFS"
235,0.000117458964464617,"Median PFS"
236,0.000113021815464757,"Median PFS"
237,0.000108752284929241,"Median PFS"
238,0.000104644040875619,"Median PFS"
239,0.000100690990519446,"Median PFS"
240,0.0000968872712382934,"Median PFS"
